id;course_category_title;logo;is_parent;parent_id;description
1;convergence;Buckinghamshire;false;25890;Cheese dynamic
2;streamline lime override;Toys Forward e-tailers;true;22807;virtual azure
3;Keyboard granular set;FrozenXXXX;true;44268;SAS SmallX
4;AccountXXX;Steel Intranet;true;42959;incubateXX
5;fuchsia ability generating;UnbrandedX;false;95508;bypass Coordinator violet
6;Rufiyaa Barbados;panelXXXXX;false;28817;Account lavender deposit
7;Point Futuna;Metal payment Bedfordshire;true;63644;content generating Gloves
8;monetizeXX;MarketingX;true;21881;AutoXXXXXX
9;Massachusetts Nepal Savings;Forward AI;false;60924;Loan extend Checking
10;THX Bedfordshire;Communications;false;13300;olive digital azure
